Name,Meal,Cuisine,Vibe,Suburb
Freda's Bakery,Breakfast,Bakery,Casual,Brunswick
Freda's Bistro,Dinner,European,Semi-casual,Fitzroy
Demochi,Snack,Dessert,Casual,CBD
Brico,Dinner,Wine bar,Semi-casual,Carlton North
Reine La Rue,Lunch,French,Semi-formal,CBD
Reine La Rue,Dinner,French,Semi-formal,CBD
Thai Town,Lunch,Thai,Casual,CBD
Thai Town,Dinner,Thai,Casual,CBD
Dexter,Lunch,Australian,Casual,Preston
Dexter,Dinner,Australian,Casual,Preston
Philippe,Lunch,French,Semi-casual,CBD
Philippe,Dinner,French,Semi-casual,CBD
Al Dente Enoteca,Lunch,Italian,Semi-casual,Carlton
Al Dente Enoteca,Dinner,Italian,Semi-casual,Carlton
Il Bacaro ,Lunch,Italian,Semi-formal,CBD
Il Bacaro ,Dinner,Italian,Semi-formal,CBD
Stokehouse,Lunch,Australian,Semi-formal,St Kilda
Stokehouse,Dinner,Australian,Semi-formal,St Kilda
Caffe e Cucina,Lunch,Italian,Semi-formal,South Yarra
Caffe e Cucina,Dinner,Italian,Semi-formal,South Yarra
Marion Wine Bar,Lunch,European,Semi-casual,Fitzroy
Marion Wine Bar,Dinner,European,Semi-casual,Fitzroy
Poodle Bar & Bistro,Dinner,European,Semi-casual,Fitzroy
France-Soir,Lunch,French,Semi-casual,South Yarra
France-Soir,Dinner,French,Semi-casual,South Yarra
Bar Margaux,Dinner,French,Semi-casual,CBD
Grossi Florentino,Lunch,Italian,Semi-formal,CBD
Grossi Florentino,Dinner,Italian,Semi-formal,CBD
Vue De Monde,Lunch,Australian,Formal,CBD
Vue De Monde,Dinner,Australian,Formal,CBD
Oshan Contemporary Sushi,Dinner,Japanese,Semi-formal,South Yarra
Lagoon Dining,Dinner,Chinese fusion,Semi-casual,Carlton
Atlas,Dinner,Changing,Semi-casual,South Yarra
Pearl Diver Oyster Bar & Bistro,Dinner,Seafood,Semi-casual,CBD
Marameo,Lunch,Italian,Semi-casual,CBD
Marameo,Dinner,Italian,Semi-casual,CBD
Gimlet at Cavendish House,Lunch,Australian,Semi-formal,CBD
Gimlet at Cavendish House,Dinner,Australian,Semi-formal,CBD
Sanhe Congee,Lunch,Chinese fusion,Casual,West Melbourne
Sanhe Congee,Dinner,Chinese fusion,Casual,West Melbourne
Kare,Lunch,Japanese,Casual,West Melbourne
Kare,Dinner,Japanese,Casual,West Melbourne
JuJu's Deli,Lunch,Sandwich,Casual,Thornbury
Aung Lo,Dinner,Thai,Casual,CBD
Le Bajo Milk Bar,Breakfast,Bakery,Casual,North Melbourne
Bola Bake,Breakfast,Brunch,Casual,Airport West
Iscream (mochi icecream),Snack,Icecream,Casual,CBD
Samesyn,Lunch,Australian,Semi-casual,Torquay
Samesyn,Dinner,Australian,Semi-casual,Torquay
KHAO Melbourne,Lunch,Thai,Casual,CBD
KHAO Melbourne,Dinner,Thai,Casual,CBD
Pick Prik,Dinner,Thai,Casual,CBD
Ministry of Crab,Lunch,Sri Lankan,Semi-casual,CBD
Ministry of Crab,Dinner,Sri Lankan,Semi-casual,CBD
Chooka's,Breakfast,Brunch,Casual,Brunswick
Manze,Lunch,Mauritian,Semi-casual,North Melbourne
Manze,Dinner,Mauritian,Semi-casual,North Melbourne
Meeya Café,Snack,Dessert,Casual,South Melbourne
Meet Forest Café,Breakfast,Brunch,Casual,South Yarra
Meet Forest Café,Lunch,Brunch,Casual,South Yarra
Ilza Japanese Café,Lunch,Japanese,Casual,CBD
Ilza Japanese Café,Dinner,Japanese,Casual,CBD
Chotto Motto Gyoza,Dinner,Japanese,Casual,Collingwood
Bar Rosella,Lunch,Italian,Semi-casual,Fizroy
Bar Rosella,Dinner,Italian,Semi-casual,Fitzroy
Officina Gastronomical Italiana,Lunch,Italian,Semi-casual,Prahran
Officina Gastronomical Italiana,Dinner,Italian,Semi-casual,Prahran
Rocco's Bologna Discoteca,Lunch,Italian,Casual,Fitzroy
Rocco's Bologna Discoteca,Dinner,Italian,Casual,Fitzroy
Studio Amaro,Lunch,Italian,Semi-casual,Windsor
Studio Amaro,Dinner,Italian,Semi-casual,Windsor
Totti's,Lunch,Italian,Semi-casual,Lorne
Totti's,Dinner,Italian,Semi-casual,Lorne
Ishizuka,Dinner,Japanese,Formal,CBD
Miyama Melbourne,Snack,Brunch,Casual,CBD
ALT,Lunch,Italian,Semi-casual,CBD
ALT,Dinner,Italian,Semi-casual,CBD
Doju,Lunch,Korean,Semi-casual,CBD
Doju,Dinner,Korean,Semi-casual,CBD
Klae,Lunch,Asian fusion,Semi-casual,Richmond
Klae,Dinner,Asian fusion,Semi-casual,Richmond
Kekou,Dinner,Asian,Semi-casual,Richmond
Kekou,Lunch,Asian,Semi-casual,Richmond
Kumo,Snack,Dessert,Casual,CBD
Homm,Snack,Dessert,Casual,CBD
Aoi Tsuki,Dinner,Japanese,Formal,South Yarra
Wagyu Ya,Lunch,Japanese BBQ,Semi-casual,Glen Waverly
Wagyu Ya,Dinner,Japanese BBQ,Semi-casual,Glen Waverly
Publique Bakery,Snack,Bakery,Casual,CBD
Sara Craft Ramen,Lunch,Japanese,Casual,CBD
Sara Craft Ramen,Dinner,Japanese,Casual,CBD
Bar Tobola,Dinner,Mexican,Casual,Pascoe Vale South
Madeleine de Proust Patisserie,Snack,Bakery,Casual,Carlton
Maven Restaurant & Bar,Dinner,European,Semi-casual,Fitzroy
Hopper Joint,Lunch,Sri Lankan,Casual,Prahran
Hopper Joint,Dinner,Sri Lankan,Casual,Prahran
Bangkok Lab Café,Breakfast,Brunch,Casual,Carnegie
Migak ,Lunch,Korean,Casual,Oakleigh South
Naau Café,Snack,Coffee,Casual,CBD
Amiri Melb Café,Snack,Dessert,Casual,CBD
Old Man Drew,Breakfast,Brunch,Casual,Ascot Vale
Woo399,Lunch,Korean,Casual,CBD
Woo399,Dinner,Korean,Casual,CBD
Sachi,Dinner,Japanese,Semi-casual,Hawthorn
Daikokuten,Breakfast,Brunch,Casual,Hawthorn East 
Daikokuten,Lunch,Brunch,Casual,Hawthorn East 
KatsuRetsu Co,Lunch,Japanese,Casual,CBD
KatsuRetsu Co,Dinner,Japanese,Casual,CBD
St Germain Wine Bar,Dinner,French,Semi-casual,Hawthorn
Trattoria Emilia,Lunch,Italian,Semi-casual,CBD
Trattoria Emilia,Dinner,Italian,Semi-casual,CBD
Sebastian Kakigori,Snack,Japanese,Casual,CBD
Nana Rosa's Kitchen,Lunch,Filipino,Casual,Sunshine
Nana Rosa's Kitchen,Dinner,Filipino,Casual,Sunshine
Baguette Studios,Breakfast,Brunch,Casual,North Melbourne
Baguette Studios,Lunch,Brunch,Casual,North Melbourne
Palette at night (brunch),Breakfast,Brunch,Casual,North Melbourne
Palette at night (bar),Dinner,Wine bar,Casual,North Melbourne
Matilda 159 Domain,Lunch,Australian,Semi-casual,South Yarra
Matilda 159 Domain,Dinner,Australian,Semi-casual,South Yarra
